year,game_datetime,game_pk,position,AB,OBP,SLG,OPS
2014,2014-05-17T18:15:00Z,381169,P,2,0.0,0.0,0.0
2014,2014-05-17T00:15:00Z,381154,P,2,0.0,0.0,0.0
2014,2014-05-17T18:20:00Z,381176,P,2,0.0,0.0,0.0
2014,2014-05-17T01:40:00Z,381159,P,2,0.0,0.0,0.0
2014,2014-05-17T20:05:00Z,381177,P,2,0.5,1.0,1.5
2014,2014-05-18T00:10:00Z,381174,P,3,0.0,0.0,0.0
2014,2014-05-17T23:05:00Z,381172,P,2,0.0,0.0,0.0
2014,2014-05-18T00:10:00Z,381180,P,1,0.0,0.0,0.0
2014,2014-05-18T01:05:00Z,381175,P,2,0.0,0.0,0.0
2014,2014-05-18T17:35:00Z,381187,P,3,0.333,0.333,0.667
2014,2014-05-18T18:15:00Z,381184,P,2,0.667,0.5,1.167
2014,2014-05-18T17:35:00Z,381192,P,2,0.5,0.5,1.0
2014,2014-05-18T18:20:00Z,381191,P,3,0.0,0.0,0.0
2014,2014-05-18T20:05:00Z,381190,P,2,0.5,0.5,1.0
2014,2014-05-18T20:10:00Z,381195,P,1,0.0,0.0,0.0
2014,2014-05-18T20:10:00Z,381189,P,2,0.0,0.0,0.0
2014,2014-05-20T23:05:00Z,381207,P,2,0.0,0.0,0.0
2014,2014-05-19T23:10:00Z,381203,P,3,0.333,0.333,0.667
2014,2014-05-20T23:05:00Z,381205,P,1,0.0,0.0,0.0
2014,2014-05-19T23:05:00Z,381200,P,2,0.5,0.5,1.0
2014,2014-05-20T23:10:00Z,381211,P,3,0.0,0.0,0.0
2014,2014-05-20T23:10:00Z,381215,P,2,0.0,0.0,0.0
2014,2014-05-21T00:05:00Z,381213,P,1,0.0,0.0,0.0
2014,2014-05-20T23:10:00Z,381210,P,1,0.0,0.0,0.0
2014,2014-05-21T00:15:00Z,381204,P,3,0.0,0.0,0.0
2014,2014-05-21T00:40:00Z,381217,P,3,0.333,0.333,0.667
2014,2014-05-21T02:10:00Z,381212,P,2,0.5,0.5,1.0
2014,2014-05-21T20:05:00Z,381222,P,2,0.5,0.5,1.0
2014,2014-05-21T23:10:00Z,381225,P,2,0.5,0.5,1.0
2014,2014-05-21T18:20:00Z,381228,P,2,0.0,0.0,0.0
2014,2014-05-21T23:05:00Z,381220,P,2,0.0,0.0,0.0
2014,2014-05-21T23:10:00Z,381226,P,2,0.0,0.0,0.0
2014,2014-05-21T23:10:00Z,381230,P,1,0.0,0.0,0.0
2014,2014-05-22T00:15:00Z,381219,P,2,0.0,0.0,0.0
2014,2014-05-22T00:40:00Z,381232,P,2,0.0,0.0,0.0
2014,2014-05-22T01:10:00Z,381227,P,2,0.0,0.0,0.0
2014,2014-05-22T16:40:00Z,381242,P,2,0.0,0.0,0.0
2014,2014-09-01T20:10:00Z,381243,P,1,0.0,0.0,0.0
2014,2014-05-22T23:05:00Z,381246,P,1,0.5,0.0,0.5
2014,2014-05-22T23:10:00Z,381239,P,0,,,
2014,2014-05-23T02:10:00Z,381235,P,1,0.0,0.0,0.0
2014,2014-05-22T23:15:00Z,381234,P,2,0.0,0.0,0.0
2014,2014-05-22T23:10:00Z,381238,P,2,0.5,1.0,1.5
2014,2014-05-23T23:05:00Z,381261,P,2,0.0,0.0,0.0
2014,2014-05-23T23:05:00Z,381254,P,2,0.0,0.0,0.0
2014,2014-05-23T23:10:00Z,381259,P,1,1.0,1.0,2.0
2014,2014-05-23T23:10:00Z,381255,P,1,0.0,0.0,0.0
2014,2014-05-23T23:35:00Z,381251,P,2,0.0,0.0,0.0
2014,2014-05-24T02:10:00Z,381249,P,2,0.0,0.0,0.0
2014,2014-05-24T02:15:00Z,381256,P,2,0.0,0.0,0.0
2014,2014-05-24T19:05:00Z,381269,P,1,0.0,0.0,0.0
2014,2014-05-25T17:15:00Z,381247,P,1,1.0,1.0,2.0
2014,2014-05-25T17:15:00Z,381247,P,1,1.0,1.0,2.0
2014,2014-05-24T20:10:00Z,381266,P,2,0.0,0.0,0.0
2014,2014-05-24T20:10:00Z,381270,P,2,0.5,0.5,1.0
